TV1,Bond,Harry Potter,Cheesy,Game
"Sometimes I just want to get in my car and drive and drive, drive.",Governments change. The lies stay the same.,"(Point at your chest/heart) It's a port-key. Once you touch it, it'll take you somewhere you ain't never been before.",(As she is leaving) Hey aren't you forgetting something? (What?) Me!,"Aipom's pretty good with his hands, and so am I."
"Hate the game, not the playa.","After you, 006.",(Point your wand at girls crotch and say).... Alohamora!,"(Ask a person for the time) 9:15? So today is May 1, 2008, at 9:15 PM, thanks I just wanted to be able to remember the exact moment that I met the woman of my dreams.",Are you a Hitmonlee? Because your body is kickin'.
"I’m cool dad, that’s my thang.",I had to stop in the bathroom. ,Are you interested in making some magic together? My wand is at the ready.,(hold out hand) Would you hold this for me while I go for a walk?,Are you a Pikachu? Because you are shockingly beautiful.
Son of a bench!,"It appears we share the same passions. Three, anyway.",Are you using the Confundus charm on me or are you just naturally mind blowing?,"(Put your fingers on the other's nipples) Hey, here's (name), comin' at you with the weather. Can I be your warm front?",Are you a RARE CANDY? Because I feel a level-up.
You’re boring me.,One rises to meet a challenge.,"Baby, are you the Nimbus 2000 cause your sweeping me off my feet!",(She asks you the time) Its two flirty and the date's with you and me.,Are you from the Hoenn Region? Because you're the only HO I see.
"Let's hug it out, bitch.","Moneypenny, I'm devastated. Whatever would I do without you?","Baby, you don't need defense against my dark arts.","(steps on some ice) Now that the ice is broken, what's your name?","Baby, I'm a Mismagius. I'll make all of your wildest dreams come true."
"Wildcard, Bitches!",Really? What's the penalty for that?,Being without you is like being afflicted with the Cruciatus Curse.,(To someone working somewhere where a counter separates you) You're like a drug to me. Good thing you're over the counter.,Can I fertilize you with my sunkern?
It's going to be legendary,"Morning, Q. Sorry about the leg. Skiing?",Can I Slytherin your Ravenclaw or would you rather Hufflepuff my Gryffindor?,"(Walk up to someone and bite them anywhere) Sorry, taking a bite out of crime. [WHAT?] Well it has to be illegal to look that good!",Can I get into YOUR Secret Base?
"I would do anything for my friends, which I think is how everyone in the world feels. Which is why I finally understand war.",Lucky me,"Come here, I'll show you a REAL Patronus.","[Look at her shirt label.] When they say, ""What are you doing?"" You respond: ""Yep! Made in heaven!""",Care to take a Rhydon my Lapras til you Squirtle over me?
"Looking at the room, I can tell you're the most beautiful girl...in the room.","What, no small talk? No chit-chat? That's the trouble with the world today. No one takes the time to do a really sinister interrogation anymore. It's a lost art!","Come on, let's do it Hippogriff style!","[Point at her butt] Pardon me, is this seat taken?","Damn girl, I think I need a Parlyz Heal, Because you're stunning."
"Kip, stand by to take the blame.",And what's the penalty for treason?,"Did you just say ""Wingardium Leviosa""? Cause you've got me rising, baby.","A boy gives a girl 12 roses. 11 real, 1 fake and he says to her "" I will stop loving you when all the roses die""",Did you just FLASH(HM 05) me?
One of these days Alice—pow! Straight to the Moon!,He'll betray you. Just like everyone else.,Did you just use the stupify charm or are you a natural stunner?,A face without freckles is like a night sky without stars.,"Did you use CONFUSE RAY?, cuz your making me dizzy."
I'm coming to join you Elizabeth!,A worldwide financial meltdown... and all so mad little Alec can settle a score with the world 50 years on.,Did you survive Avada Kedavra? 'Cause you're drop dead gorgeous.,"All those curves, and me with no brakes!",Do you have a Ditto in your pocket because I can see myself in your pants.
"Her lips said 'No, but her eyes said 'read my lips.'",Everybody needs a hobby.,"Do me, I'm Harry Fucking Potter.","Apart from being sexy, what do you do for a living?",Do you like Pokeballs because you're about to get really close to one of mine.
"Lucy, you've got some 'splaining to do!",Why is it that people who can't take advice always insist on giving it?,Do you like Harry Potter? Because I a-Dumbledore you!,Are those diamonds real? [YES] I was talking about the ones in your eyes.,Do you wanna battle? Because my balls are at the ready!
Give me all the bacon and eggs you have.,Vodka-martini.,Do you want to head to the Shrieking Shack? We could do some shrieking of our own.,Are those space pants? Because your ass is out of this world!,Do you wanna LICKILICKY my icky sticky.
I don't know him well enough for a stop and chat.,Do I look like I give a damn?,"Even though I am in Gryffindor, every time I see you something in my pants is Slytherin!",Are we related? Do you want to be?,Do you wanna play my Poke Flute?
Are we having fun yet?,I do *hate* it when religion comes between us.,"Forget the train honey, just hop on my platform 9 and 3 quarters",Are you a banana? Because I find you a-peeling,Do you wanna play with my Poke Balls?
We were on a break!,"I've got a little itch, down there. Would you mind?","Girl, are you sure you're a muggle cause I'd swear that ass is magical!",Are you a beaver? Because daaaaam!,Do you wanna see my BELL-SPROUT?
Ain't no party like a Liz Lemon Party because a Liz Lemon party is mandatory.,"No, because once you've tasted it, that's all you want to drink.",Going to bed? Mind if I Slytherin?,"Are you a camera? Because every time I look at you, I smile.",Do you wanna see my NUGGETS?
I'm afraid I just blue myself.,The job's done and the bitch is dead.,"Hagrid's not the only giant on campus, if you know what I mean.",Are you a campfire? Because you are hot and I want s'more.,Do you wanna see my POLI-WAG?
That's what she said.,"Well, I wouldn't be very good at my job if it did.",Have you been using Accio? Cuz I've been coming to you every night,Are you a cat? Because you are purrrfect,Do you wanna see what's in my ball bag?
"Well, middle class was fun.",The name's Bond... James Bond.,Have you been using the Petrificus Totalus spell? Because you've made me stiff.,Are you a crayon? Because you bring color to my life.,Do you want to help my ekans learn intercourse?
Not that there's anything wrong with that.,"A martini. Shaken, not stirred.","Have you heard of Platform 9 and 3/4? Well, I can think of something else with the exact same measurements.","Are you a fruit, because Honeydew you know how fine you look right now?",Don't make me use Water Gun all over you!
"How's a beer sound, Norm? I don't know I usually finish before they get a word In.","Are you doing anything on Saturday? Wait, I just checked--you're not.",Hermoine your boobs look very heavy... can I hold them for you?,"Are you a girl scout, cause you tie my heart in knots.",Have you been taking lessons from a Lickitung?
"Well, the plot, unlike your hair, continues to thicken.",Are you the CIA? Because I don't think the president gave you permission to torture me with those good looks.,"Hermoine, I want to wear you like a pair of sun glasses, one leg over each ear.","Are you a hipster, because you make my hips stir.","Hey baby, wanna SPOINK?"
I don’t lose things. I place things in locations which later elude me.,Are you tired? Because you've been running through my chat log reviews all day.,"Hey, baby; I must be in the Room of Requirement, because I require YOU!",Are you a Hurricane [name]? Because you're blowing me away.,Hey girl! Are you a Pokemon? Because I wan tot have a peek-at-chu.
"Take pictures. Not of sights. Don’t take pictures of buildings. Take pictures of moments, because that’s what matters.",Baby your Verizon line ain't the only thing I'm tryna tap,"I am a seeker, are you my golden snitch?",Are you a kidnapper? Because you just abducted my heart.,"Hey, baby, my squirtle knows water gun."
"Guster, you have to wake up to the real world. People have sex and kill each other. That’s the real world. Not some magical ‘feelings’ place.","Bond: ""That gun, it looks more fitting for a woman.""",I can be anything you want me to be... I've got enough Polyjuice for the whole night!,Are you a light switch? 'Because you turn me on!,"Hey, I've got some legendary pokemon, do you want to touch my pokeballs to see just how legendary they are?"
"What isn’t clear is why people always say ‘goes without saying,’ yet still feel compelled to say the thing that was supposed to go without saying. Doesn’t that bother you?","Largo: ""You know much about guns, Mr. Bond?""",I could make you scream louder than a mandrake!,"Are you a magician? Because whenever I look at you, everyone else disappears!",How about you come and see my safari zone.
"Man, I’m nobody’s charity case. I demand I dig my own grave!","Bond: ""No, but I know a little about women.""","I don't have a broom, can I ride yours?",Are you a magician??? Because Abraca-DAYUM!,"How about you use REST, so i can sleep with you."
Just because you put syrup on something doesn’t make it a pancake.,Bond… James Bond.,"I don't need accio, to make you come!",Are you a microwave oven? Because you melt my heart.,How would you like me to use my Onix to BIND you to my bed?
How about you play six degrees of kiss my ass?,Could you help me find my stationary?,I don't need aguamenti to make you wet!,Are you a model?,"How would you like to see my viridian forest, well it's not really viridian."
"I’m nobody’s pawn, Shawn. I’m a Queen.","Della Leiter: ""Oh, James, would you mind? Felix is still in the study and we've got to cut this cake.""",I don't need the Mirror of Erised to know that you're everything I desire.,Are you a parking ticket? Because you've got FINE written all over you.,"I bought you an everstone, because I love you just the way you are."
"How can you tell that someone’s a compulsive liar? I mean, assuming that their pants aren’t on fire.","James Bond: ""I'll do anything for a woman with a knife.""","I heard you were in Gryffin-whore, because you let every wizard slyther-in.",Are you a Snickers bar? Because you satisfy me.,I can make your Jigglypuffs sing.
I can’t help being a gorgeous friend. It’s just the card I drew.,"Do you believe in love at first sight, or did I misunderstand your search history?",I heard you're a Gryffinwhore (Why?) Because you let every wizard Slytherin!,Are you a tamale? 'Because you're hot.,I can make your Milktanks moo.
Gus wants to know if your boat has cable. It’s the season finale of ‘Leverage’ and his TiVo’s on the fritz.,"Domino: ""How do you know my friends call me Domino?""","I know we're not in Professor Flitwick's class, but you still are charming.",Are you a terrorist? ... cause you're the bomb!,I heard Meowth's not the only mischievious pussy in town.
"And so, I accept that this is my fatal flaw. I just can't quite engage all the way when I really need to. When it really matters, you know? When the chips are down. So I guess what I'm saying is that I'm sorry, Gus. I'm sorry that I can't do goodbyes. I tried so hard to tell you, man. I just... I just suck at the real stuff, you know that. You're gonna be fine. You're gonna be better than fine. I just can't help thinking that the only problem that you really had this whole time... is me. And I've kept you from the life you deserve, you know? The life that you've earned, the life that you'd have if I hadn't barged into your office eight years ago and said, We're gonna play detective whether you want to or not. I love you, man.","James Bond: ""It's on the bracelet on your ankle.""","I may be a muggle, but the things I can do in bed are magical!",Are you African? Because you're a frican babe.,I just want to stick it in your wooper.
"Remember dad, you treat a woman like a person, then a princess, then a Greek goddess, then a person again. ","Domino: ""So . . . what sharp little eyes you've got.""","I may not be Harry Potter, but I can be your chosen one.","Are you an interior decorator? Because when I saw you, the entire room became beautiful.",I like to compare myself with Smeargle...I'm pretty handy with a paintbrush.
"Hello, I'm Shawn Spencer, and this is my partner, Radio Star. I'm afraid your video will kill him. ","James Bond: ""Wait till you get to my teeth.""","I may not be the boy who lived, but I can still be your chosen one.",Are you an interior decorator? Because you are making this room beautiful,"I made you some MOO-MOO MILK, but I forgot to use my Milktank."
"Gus, don't be Harry Potter and the Prisoner of Marzipan. ","Eve: ""That was hardly my best shot.""",I may not speak parseltongue but if you let me Slytherin to your bed I can show you what my tongue can really do!,Are you an orphanage? Because I wanna give you kids.,"I think I need a Paralyze Heal, because you're stunning."
"I warned you, Shawn, firefighters are trouble. I did everything in my power to keep you off the pole. ","James Bond: ""I'm not sure I could survive your best.""","I must have had some Felix Felicis, because I think I'm about to get lucky.",Are you as beautiful on the inside as you are on the outside?,I think I'm going to need a Burn Heal because you're hot.
"I can't help it, Shawn, my body craves buttery goodness.","Eve: ""I doubt you'll get the chance.""","I use to go to the Astronomy Tower to see stars, but now I can just look into your eyes!",Are you Australian? Because you meet all of my koala-fications.,I think I'm going to need a Burn Heal because you're hot.
"We get caught together, we face death together, it happens every week.",Fancy a shag? My other car is an Aston Martin. I have a huge apendege.,I wanna be your Dumblewhore.,Are you busy tonight around 2 a.m.?,I think we're going to need Defog (HM05) before the night is done.
Everyone stop whatever you're doing and only pay attention to me.,Female Receptionist: Could I interest you in something?,I wanna open you wide like a book in the restricted section!,"Are you cold? You look like you could use some hot chocolate... Well, here I am!",I wanna Munchlax your Cloyster.
"They tell me I got something called Narcissistic Personality Disorder. But, uh, the truth is this lustrous hair and dimpled chin are merely chapter one. I'm a veritable cornucopia of high-octane maladies, such as outrageous intelligence syndrome. And a little obsessive successful disorder.",James Bond: I'm tempted to say yes immediately but I think I'd maybe have a look around.,"I wanna stick my ""Sorcerer's Stone"" in your ""Chamber of Secrets"" and release ""The Prisoner of Azkaban"" into your ""Goblet of Fire"" giving the ""Order of the Phoenix"" making my ""Half Blood Prince"" rise and give you the ""Deathly Hallows""",Are you form Tennessee? Because you're the only ten I see!!!,I wanna see your Squirtle squirt.
"We are men, Gus. The world is our toilet.","Girl, you must have fallen from heaven because there is no tracking data to indicate how you arrived at this location.","I wanna stick my half-blood prince inside your chamber of secrets, and release the prisoner of azkaban to give you the deathly hallows.",Are you from China? Because I'm China get your number.,I wanna spread HONEY on your Forretress.
Agree to agree.,"Good day darling, how would you liek to bond?",I was the one who gave Moaning Myrtle her nickname!,Are you from Holland? Because amsterdayyyuuumm.,I want to Squirtle all over your Jigglypuffs.
"Well, much like Lady Gaga, I was born this way.","Helga Brandt: ""I've got you now.""",I would take a marauders map just to stare at you all night!,Are you from Tennessee? Because you're the only ten I see!,I will be your Pokemon if you let me Pikachu.
You caught me listening to my own music. How utterly Rob Thomas of me.,"James Bond: ""Well, enjoy yourself.""",I'd let you handle my wand any day!,Are you going to kiss me or do I have to lie about that part?,"I wish I was a Magikarp, so I could use SPLASH on you!"
"Falling in love with you was never part of the plan, okay? This whole thing started because my a** was on the line. Self-preservation, Jules - you got to understand that. I didn't have a choice. And then we sort of found a groove, and by the time you showed up, it was so much fun. I put away, like, over a hundred criminals. Most of them were murderers. I'm good at what I do. And what I do, it's good, isn't it?","Hello. Yes, I'm British.",I'd like to get my basilisk into your chamber of secrets.,Are you going to kiss me or do I have to lie to my diary?,"I wish I was a Seaking, so I could HORN DRILL you."
"Okay, you guys are actually devolving.",Honey Ryder: Looking for shells?,I'll remember to protect my wand when entering your chamber of secrets!,Are you Google? Because I've just found what I've been searching for.,"I wish I was an Abra, so I could TELEPORT to your bedroom."
I've never been murdered before! It's liberating.,James Bond: No. I'm just looking.,"I'm just like Oliver Wood, baby. I'm a keeper!",Are you Jewish? Because you ISRAELI HOT.,"I wish you and I were Weedles, so you and I could make a Kakuna and evolve together."
"Would you please stop quoting Math like it's a person? Next thing you'll tell me, Math is black.","Hotel Receptionist: ""I have a message for you.""",I'm like devils snare. It only gets more painful if you struggle!,Are you looking for a shallow relationship?,I wish you were the ground and I was a Diglett so I could be inside of you.
It's a gift that I bust out on rare occasions and almost all the time.,"James Bond: ""I think you just delivered it.""","I'm not wearing an invisibility cloak, but do you think I could still visit your restricted section tonight?",Are you lost ma'am? Because heaven is a long way from here,I'd like to get in your rock tunnel.
"Partners do not lie to each other, because partners put their lives in each other's hands.","How do you kill 5 hours in Rio, if you don't samba?",I've been whomping my willow thinking about you.,Are you my Appendix? Because I have a funny feeling in my stomach that makes me feel like I should take you out.,I'd like to Leech my Seeds into you.
"Gus, don’t be the 100th Luftballoon.",I couldn't help but hear your phone conversation with your sister yesterday & I think I can be that kind of man for you!,"I've got two Bertie Bott's beans and a wand, wanna taste?","Are you my phone charger? Because without you, I'd die.",I'd like to ride you like a HORSEA.
"Oh, please. I'm all about touching... respectfully",I feel like I've known you since you got that cellphone for your 15th birthday.,If I opened my Gryffindor would you Slytherin?,Are you on Nickelodeon? Because you're a-Dora-ble!,I'd like to Slowpoke your Cloyster.
Your new legal name is Recap McGee.,I knew you'd be here.,"If i were a sorting hat, I'd put you in my house!",Are you related to Jean-Claude Van Damme? Because Jean-Claude Van Damme you're sexy!,I'd POUND you with my Piplup.
I've got guts and cellulite. I don't even need a warrant.,I know exactly where you have been all my life.,"If I were to look into the Mirror of Erised, I'd see the two of us together.",Are you religious? Because you're the answer to all my prayers.,I'll use ROCK CLIMB in your Fortress.
I'm the cream in a crying sandwich.,I know exactly where you have been all my life.,"If you were a Dementor, I'd become a criminal just to get your kiss.",Are you sure you're not an alien because you've just abducted my heart!,"I'm a real Machamp, if you know what I mean."
We have a boner-fied defense team.,"I must complete the mission, but first, sex.",Interested in making some magic together? My wand is at the ready.,"Are you the moon? Because even when it's dark, you still seem to shine.",I'm going to Hoppip into your pants.
This is why we should not legalize marijuana.,I think he got the point.,Is that a wand in your pocket or are you just happy to see me?,Are you the new school janitor? Because you just swept me off my feet.,"I've got an Onyx, and if you come over to my place I'll show you his move Earthquake (TM 27)."
If I ask for a freshly demoted beat cop I will expect you front and center.,"I will ALWAYS have my eyes on you, darling...! My love for you is unconstitutional.",Is your name Felix Felicis? Cause you're about to get lucky!,"Are you Willy Wonka's daughter, Because you look sweet and delicious.",I've got Masterballs baby.
[Make siren sound] Somebody call a cop! Cause it got to be illegal to look that good!,"I will be keeping an eye on your smile, and off your perfectly formed arse!",Just the thought of your wand makes me spill my potion!,Are your parents bakers? Because they sure made you a cutie pie!,"If I was a Pokemon right now, I'd be an Erectabuzz"
"[Tom is playing with a stethoscope, using it on Leslie Knope (Amy Poehler)] Oh my god. Your boobs are dead!",I'd tap that.,Let me Slytherin your Griffendoor.,"Are your parents retarded, 'cause you sure are special.","If I were a Clefairy, I""d DOUBLE-SLAP dat ass."
"A boyfriend? No thanks, I have food.",I'm incredibly rich. Here's a new iPhone 5 with my number in it. Call me sometime.,Let's have a Tri-Wizard tournament Protect your 'wand' from 'hogwarts' when you enter the 'chamber of secrets',"Babe, your beauty makes the morning sun look like the dull glimmer of the moon.","If I were a Ghastly, I'd seep right through your pants."
A no sex pact! I have one of those with every woman in America!,"If I was James Bond's martini, how would you want me? Shaken or stirred?","Let's have some fun this match is sick, I want to take a ride on you Quidditch stick!",Babe! you look so fine I could drink your bath water!,"If I were a Hitmonchan, I'd Thunderpunch dat ass."
"Age of the geek, baby.","James Bond: [James is in bed with a Ling, a Chinese woman] Why do Chinese girls taste different from all other girls?",Lets practice Alohomora...you can be the door so I can slam you all I want!,"Baby I might not be Sriracha sauce but, I sure will spice up your life.","If I were a Milktank, I'd use ATTRACT on you."
Alcohol is for people who can afford to lose some brain cells.,"Ling: You think we better, huh?",Mind if I Weasley my way into your pants?,"Baby, I know my chemistry, and you've got one significant figure.","If I were a Nidoking, you would be my Nidoqueen."
"Always the con man, never the con.","James Bond: No, just different. Like Peking Duck is different from Russian Caviar. But I love them both.",My house is called the Shrieking Shack for a reason. I'll show you tonight.,"Baby, I'm no Fred Flintstone, but I can make your Bedrock!","If I were a Pidgeotto, I'd GUST your pants off."
Am I sexy in Tulsa?,"Ling: Darling, I give you very best duck.",My love for you burns like a dying phoenix.,"Baby, if you were words on a page, you'd be what they call FINE PRINT!","If you were a Pokemon, I'D CHOOSE YOU!"
"Angel, when I look into the future, all I see is you! All I want is you.","James Bond: ""I approve.""","My name might not be Luna, but I sure can Lovegood.","Baby, you are so fine I could put you on a plate and sop you up with a biscuit.","If you were a pokemon, you'd be a Squirtle, cause you make me wet!"
Are you a good cuddler? I might let you join my team.,"Goodnight: ""You do?""","My vagina is a horcrux, will you destroy it?","Baby, you're so hot, you make the equator look like the north pole.","If you were in a Pokemon Contest, you'd win first place in the Beauty/Cuteness category."
Are you a Grey's Anatomy fan? Because you're definitely McDreamy.,"James Bond: ""Oh, not the wine, your frock. Tight in all the right places, not too many buttons.""",My wand has chosen you!,"Baby, you're so sweet, you put Hershey's outta business.","Is that a Sudowoodo in your pocket, or are you just happy to see me?"
Are you a phoenix? ‘Cause baby you’re burning me up.,"James Bond: ""I tend to notice little things like that — whether a girl is a blonde or a brunette.""","My wand? 12 inches, unyielding.....","Be unique and different, say yes.",Is that a TANGELA down there?
Are you a secure network? Because I want to get in you.,"Tiffany Case: ""Which do you prefer?""",Once you go black you siriusly dont go back!,"Because of you, I laugh a little harder, cry a little less, and smile a lot more.",It's a good thing that I'm a pokemon trainer and can handle your Jigglypuffs!
Are you a slayer because you sure are my chosen one.,"James Bond: ""Well, as long as the collar and cuffs match . . . """,One night with me and they'll be calling you MOANING Myrtle.,Bond....James Bond,Let's go make a Mewtwo of our own.
Are you a witch because you sure got me spellbound,"James Bond: ""I think I'll call it a Vesper.""",Save a broom; ride a Quidditch player,Can I borrow a kiss? I promise I'll give it back.,Let's have a Togepi of our own!
Are you cold? Wanna borrow my Browncoat?,"Vesper Lynd: ""Because of the bitter aftertaste?""","Screw Gryffindor, Ravenclaw, Hufflepuff and Slytherin, the only house I wanna be in is yours","Can I borrow a quarter? [""What for?""] I want to call my mom and tell her I just met the man/woman of my dreams.",Let's make like a Super Rod and hook up.
Are you Eliot Spencer? Can you help me retrieve my heart?,"James Bond: ""No, because once you've tasted it, that's all you want to drink.""",Speak Parseltongue to me and I'll let my snake out!,"Can I borrow your cell phone? I need to call animal control, because I just saw a fox!",Let's make RegiLove!
Are you single? Because I'd love to start a non-nuclear family with you.,"James Bond: ""I was wrong about you.""",Together we could really make the 'Shrieking Shack' worthy of its name.,Can I buy you a drink or do you just want the money?,Lets make like the pages of this guide book and get under the covers.
"Baby we must be a perfect match, because you are in all my plans.","Dr. Christmas Jones: ""Yeah, how so?""",Wanna explore my chamber of secrets?,Can I copy your dance moves?,"Like an Umbreon, I also evolve at night."
"Baby, I love you so much that if Joss Whedon were writing our romance, one of us would be dead by now.","James Bond: ""I thought Christmas only comes once a year.""","Wanna make me moan like Myrtle? .,",Can I follow you home? Because my parents always told me to follow my dreams.,Looking at your ass makes my bulba soar.
"Baby, let me hack your pentagon.","James Bond: ""I'll tell you at dinner.""",Want to learn to speak troll? Don't worry I can get you grunting in no time.,Can I have directions? [To where?] To your heart.,My Bulbasaur knows TICKLE.
"Boo-boo bear. It's one of several nicknames I've made up for you. And you can choose which one you like best, 'cause I want this to be a give and take. ...We have cookie tush, Winnie the Boo, lady presh-presh, Annberry sauce, Annie get your boo, Tommy's girl, Annie bananie…","Jill Masterson: ""Where?""","We may not be in professor flitwick's class, but you sure are charming!",Can I have your picture so I can show Santa what I want for Christmas?,My Diglett's attracted to your SWEET SCENT.
Browncoats do it better.,"James Bond: ""Oh, I know the best place in town.""",Whaddya say you and me go look for the Room of Requirement?,Can I take your picture to prove to all my friends that angels do exist?,My Donphan won't ROLLOUT for you much longer.
"C'mon man, just take 'em off, just take 'em off and we'll have some fun.","James Bond: ""I'm still not quite sure how good you are.""",Without you I feel like I'm in Azkaban and dementors are sucking away my soul.,Can I tie your shoe? Because I can't have you fall for anyone else.,My Exeggcute are pretty weak. Let's battle so they can get some experience.
Can I be any more interested?,"Jinx: ""I am so good.""",Would you like to whomp my willow?,Can you kiss me on the cheek so I can at least say a cute girl kissed me tonight?,My Gyarados is BIG enough for you to ride it ALL day and night.
Can I go golfing with you?,"James Bond: ""Especially when you're bad.""","Wow, when I said ""Accio hottie"", I didn't expect it to work!",Can you pull this heart-shaped arrow out of my butt? A damn little kid with wings shot me.,"My Kadabra just used Future Sight, and it looks like we've got a future together."
Can I show you my Long Island?,"James Bond: ""Well, my dear, I take it you spend quite a lot of time in the saddle.""","Yeah, girls call me Aguamenti? Every time they hear my name they get wet.","Can you take me to the bakery? Because, I want a Cutiepie like you!",My Lickitung can reach deeper than you can imagine!
Can you empty your pocket? I believe you have stolen my heart.,"Jenny Flex: ""Yes, I love an early morning ride.""",You are like a bottle of Skele-Gro: You're growing me a bone.,Can you take me to the doctor? Because I just broke my leg falling for you.,My love for you burns like a Charizard's tail.
Care to dance?,"James Bond: ""Well, I'm an early riser myself.""",You can have the portkey to my heart.,"Come live in my heart, and pay no rent.",My Magikarp knows a little more than SPLASH if you know what I mean.
Carlton,"James Bond: ""Well, Tracy, next time play it safe and stand on five.""","You don't even have to say ""Luminos Maxima"" to turn me on!",Could you please step away from the bar? You're melting all the ice!,My Pokeballs are SWIFT in your mouth.
"Charlie: Whatever. What are you doing for dinner? Lisa: Charlie, a lot has changed. Charlie: I know. I'm older and wiser, and you're hot and on the rebound!","Tracy: ""People who want to stay alive play it safe.""","You don't need to say ""Incendio"" to light my fire",Crap. Something is wrong with my cell phone. {Oh Really. What is that?} Its just that...your numbers not in it.,My Shellder wants to clamp onto your Slowpoke's tail!
Check out my sweet buns,"James Bond: ""Please, stay alive! At least for tonight.""","You have two choices tonight, come with me and you'll see love spells. Go with him and you'll see Hog-WARTS!","Damn girl, I thought diamonds were pretty until I laid my eyes on you!",My Typhlosion knows Eruption.
Curse your sudden but inevitable betrayal in bed.,"James Bond: “Now put your clothes back on, and I'll buy you an ice cream.”",You make my Huffle puff.,"Damn girl, if you were a fruit, you'd be a FINEapple!",My Typhlosion knows EXPLOSION!!
"Darling, you're on fire. Like doughnut grease.","James Bond: [After Dr. Holly Goodhead kisses him] ""What was that for?""","You must be magical, because I've fallen under your spell.","Damn girl, you have more curves than a race track",Squirtle isn't the ONLY one that can use water gun. - wink -
