TV1,Bond,Harry Potter,Cheesy,Game
Let's park and get some recreation going.,,,I must be in heaven because I'm looking at an angel!,
Let's role play tonight. You play me and I'll play you.,,,"I need a dollar, but I only have 90 cents... do you want to be my dime?",
Let's run away on that boat I stole from some white guy,,,I need more than 140 characters to tell you how beautiful you are.,
Let's take some revenge out on these sheets.,,,I need some answers for my math homework. Quick. What's your number?,
Let's work on our night cheese together,,,I never need to see the sun again because your eyes light up my world.,
Let’s get out of here and go all Chuck and Blair in the back of the limo.,,,"I play the field, and it looks like I just hit a home run with you.",
"Listen to me. This harvest festival, it's gonna knock your socks off and when it does, I'm gonna be there to give you a foot massage. To completion.",,,I seem to have lost my phone number. Can I have yours?,
"Look, if you knew me at all and shut me down, it would be one thing, but to be dismissed on a simple ""hello"", well, that's a tough pill to swallow.",,,I sneezed because God blessed me with you.,
Looking for your happy ending? Let me show you the way.,,,"I think I can die happy now, cause I've just seen a piece of heaven.",
"Love isn't blind, it's retarded.",,,I think it is time I tell you what people are saying behind your back. Nice Ass!,
Meat should never be used as an adjective.,,,I think there's something wrong with my eyes because I can't take them off you.,
My engine is overheating just standing near you.,,,I think you just stole something. [What?] My heart.,
My freedom is worth more than anything that diamond could buy.,,,I think you're suffering from a lack on vitamin me.,
My name's Nate Ford...and I am a thief.,,,I thought happiness started with an H. Why does mine start with U?,
My nephew was in twilight,,,I tried my best to not feel anything for you. Guess what? I failed.,
My sex doll is very popular in Japan,,,I tried to send you something sexy last night but the mail man told me to get out of the mailbox,
"Neal Caffrey, at your service.",,,I wanna live in your socks so I can be with you every step of the way,
No power in the 'Verse can stop me... in bed.,,,"I want our love to be like pi, irrational and never ending.",
"No sex for you! I mean..Yes, sex for you!",,,"I want to be your tear drop, so I could be born in your eyes, live on your cheeks, and die on your lips.",
No tea in this dress shop? What are you going to do?.. Put me in dress jail?,,,I want to tell you your fortune. [Take her hand and write your phone number on it.] Your future is clear.,
"No, I don’t text her, 'It was nice meeting you.' I wait eight weeks and I text her, ‘What's crackin?'",,,I want you almost as much as I want world peace.,
Of course I'm good in bed. How do you think Finch got his limp?,,,"I was feeling a little off today, but you definitely turned me on.",
"Oh there is plenty of fish in the sea, but only one bass.",,,I was so enchanted by your beauty that I ran into that wall over there. So I'm going to need your name and number for insurance purposes.,
"Once I bent down to pet a small dog and hey, it was a 5 pound squirrels.",,,I was wondering if you had an extra heart mine seems to have been stolen,
"One time in college, a girl told me it's not you, it's me. You're darn right it's you... you heifer!",,,I was wondering if you have a moment to spare for me to hit on you?,
Ouch! My tooth hurts..it's because you're so sweet.,,,"I wasnt sure if you were a beautiful angel or a sexy devil, but now that I'm close I see heaven in your eyes.",
"Plus, I don't have any early classes so we can sleep in",,,I will stop loving you when an apple grows from a mango tree on the 30th of February.,
"Revenge is a dish best served cold; my love on the other hand, is best served hot and steamy.",,,"I wish I was cross eyed, so I could see you twice.",
"Revenge might be a dish served cold, but I'll make sure the sex is piping hot.",,,"I won't give you a pick-up line, if you let me buy you a drink.",
Sex couldn't kill me.,,,I would die a million deaths if it meant I could be with you!,
Sitting next to borpoh doesn't come close to snitting next to yerpoh,,,I'd marry your cat just to get in the family.,
Sometimes bad guys are the only good guys you get.,,,"I'd offer you a cigarette, but you're already smoking hot.",
"Spike: You listen to me. [Kneels in front of her] I've been alive a bit longer than you, and dead a lot longer than that. I've seen things you couldn't imagine, and done things I prefer you didn't. I don't exactly have a reputation for being a thinker. I follow my blood, which doesn't exactly rush in the direction of my brain. So I make a lot of mistakes, a lot of wrong bloody calls. A hundred plus years, and there's only one thing I've ever been sure of: you.",,,"I'd say God Bless you, but it looks like he already did.",
Standing next to you makes me feel better about myself,,,I'd suck a fart out of your ass and hold it like a bong hit.,
"Ted Mosby, Architect",,,"I'll be Burger King and you be McDonald's. I'll have it my way, and you'll be lovin' it.",
That ass. Have Mercy.,,,I'll cook you dinner if you cook me breakfast.,
The story I tell our future kids about this moment will be legen- wait for it…,,,I'll show you my tan lines if you show me yours.,
There's a banana stand in my pants.,,,I'm drowning in the sun and need mouth to mouth now!,
"They call me the hero of canton, you know.",,,I'm fighting the urge to make you the happiest woman on earth tonight.,
They call me toofer because I'm both black and great in bed,,,I'm going outside to make out... care to join me?,
Think I'm in trouble?,,,"I'm going to need a tall glass of cold water, because baby your making me HOT!",
"This might sound crazy, but I just had a flash-forward to us falling in love and getting married.",,,I'm lactose intolerant so please keep your cheesy pick up lines away from me.,
This suit is for leisure. But many times I wear it to get down to business.,,,I'm learning about important dates in history. Wanna be one of them?,
"To another time, to another place, to another us.",,,"I'm Mr. Right, someone said you were looking for me?",
To blergh you is to love you,,,I'm new in town. Could you give me directions to your apartment?,
Two words: Companion training.,,,"I'm no mathematician, but I'm pretty good with numbers. Tell you what, Give me yours and watch what I can do with it.",
"Wade: What's going on here? Zoe: I am here, Wade, to seduce you. Wade: You know, most people don't announce it first. Zoe: I just wanted to make sure you were aware of what was happening because this, my friend, is happening.",,,I'm no organ donor but I'd be happy to give you my heart.,
Wanna get in? I'd love to give you a ride.,,,"I'm not a photographer, but I can picture me and you together",
Wanna get twixt my nethers?,,,I'm not actually this tall. I'm sitting on my wallet.,
Wanna make a huge mistake?,,,"I'm not drunk, I'm just intoxicated by you.",
We can sandwich toast to orgasms. - Red,,,I'm not staring at your boobs. I'm staring at your heart.,
What is it with women and shoes?,,,"I'm not trying to impress you or anything, but... I'm Batman!",
"Whatever it is that you servin, you better give me a double",,,"I'm sorry, I don't think we've met. I wouldn't forget a pretty face like that.",
Whatever your real name is I will love you.,,,"I'm sorry, were you talking to me? [No] Well then, would you like to?",
Who needs consent? I'm Chuck Bass.,,,"I'm writing a term paper on the finer things in life, and I was wondering if I could interview you.",
Why do you have to throw a wet blanket on my dreams?,,,"I've been wondering, do your lips taste as good as they look?",
Will you be my person?,,,"I've got skittles in my mouth, wanna taste the rainbow?",
Will you be my sex Yoda?,,,"I've gotta thirst, baby, and you smell like my Gatorade.",
Would you like to stroke my gun? Her name is vera.,,,I've had a really bad day but it always makes me feel better when I see a pretty girl smile. Would smile for me and make my day?,
"Yeah, that's a gun in my pants. But I'm also really happy to see you.",,,I've had such an off week but seeing you just turns me on.,
"Yes I am a hunter, and it's you season.",,,I've heard it's bad luck not to kiss someone at midnight. (New Year's Eve),
YOLO!,,,I've noticed you noticing me and I'm just giving you notice that I've noticed you!,
You all that and a bag of chips!,,,I’m single and desolate. Can you help me?,
You can call me Sophie Devereaux. Because I'm the greatest actress.. when I am stealing your heart.,,,I’ve only got three months to live.,
"You can't tell me your opinion doesn't matter. You changed me for the better in a hundred different ways. Yeah, I might miss a book or a, a salad here and there, but...I've got Claire all over me.",,,"If a fat man puts you in a bag at night, don't worry I told Santa I wanted you for Christmas.",
You checkin’ out my guns?,,,"If a thousand painters worked for a thousand years, they could not create a work of art as beautiful as you",
You don’t need a spell to summon me.,,,"If beauty were time, you'd be eternity",
You f***ing tickle me. - Nicky,,,"If God made anything more beautiful than you, I'm sure he'd keep it for himself.",
You have a tell.,,,"If I could reach out and hold a star for every time you've made me smile, I'd hold the sky in the palm of my hand.",
You have heartbreak and I have hostility. Let's take the day off and play hooky,,,"If I could rearrange the alphabet, I would put 'U' and 'I' together.",
You know from the moment I met you I knew You were a man of fine taste.,,,"If I followed you home, would you keep me?",
You make me feel like I'm high-fiving a million angels,,,"If I freeze, it's not a computer virus. I was just stunned by your beauty.",
"You might not know it to look at me, but I can run really, really fast.",,,"If I get hooked on you, will you hook up with me?",
You must be a hell of a thief because you stole my heart from across the room.,,,If I had a garden I'd put your two lips and my two lips together.,
"You must be Pestilence, ‘cause you’ve infected me.",,,"If I had a penny for every time I thought of you, I'd have exactly one cent, because you never leave my mind.",
You must be the Impala because I’d love to ride you all night.,,,"If I had a rose for every time I thought of you, I would be walking through my garden forever.",
"You must be the yellow-eyed demon, because you’re my obsession.",,,"If I had a star for every time you brightened my day, I'd have a galaxy in my hand.",
"You waited too long and now you're in ""The Friend Zone"".",,,"if I had to choose between breathing or loving you, I would say ""I love you"" with my last breath!",
You will enjoy my special tea ceremony.,,,If I had to choose between one night with you or winning the lottery...I would chose winning the lottery...but it would be close...real close...,
"You'd better be a cardiologist, because something about you makes me want to give you my heart.",,,If I had to rate you out of 10 I'd rate you a 9... because I am the one that you are missing!,
You're like the girl of my dreams and the girl I made on my computer all in one.,,,"If I received a nickel for every time I saw someone as beautiful as you, I'd have five cents.",
You're my Angel.,,,"If I told you that you had a beautiful body, would you hold it against me?",
You're shiny.,,,"If I told you that you had a great body, would you hold it against me?",
You're so amazing baby. Are you sure it's the queen that stole my heart?,,,If i was cosin squared and you were sin squared we would be one.,
You're sweeter than an ice planet.,,,If I were a cat I'd spend all 9 lives with you.,
Your ass haunts me. - Caputo,,,"If I were a stop light, I'd turn red every time you passed by, just so I could stare at you a bit longer.",
your love makes me feel like my hearts trying to hug my brain,,,"If I were a transplant surgeon, I'd give you my heart.",
Your name must be Eliot. You had me at Hello.,,,"If I were to ask you out on a date, would your answer be the same as the answer to this question?",
Your world won't be easier if I did not come back.,,,"If I were writing an essay on your beauty, I wouldn't need to double-space or increase the margin sizes to satisfy the minimum page requirement.",
You’re hotter than a ceiling fire.,,,"If it weren't for that DAMNED sun, you'd be the hottest thing ever created.",
You’re on a clock. The question is who’s clock are you on?,,,"If kisses were snowflakes, I'd send you a blizzard",
,,,If LOVE was written on every grain of sand in the Sahara Desert that still doesn't equal my love for you.,
,,,"If nothing lasts forever, will you be my nothing?",
,,,"If stars would fall every time I would think of you, the sky would soon be empty.",
,,,"If this bar is a meat market, you must be the prime rib.",
,,,"if we shared a garden, I'd put my tulips and your tulips together. (tulips = two lips)",
,,,"If we’re going to have sex later, you probably should be there.",
,,,"If women were trophies, you'd be first place!",
,,,If you could put a price tag on beauty you'd be worth more than Fort Knox.,
,,,"If you stood in front of a mirror and held up 11 roses, you would see 12 of the most beautiful things in the world.",
,,,If you were a booger I would pick you first.,
,,,If you were a booger I'd pick you first.,
,,,"If you were a chicken, you'd be impeccable.",
,,,If you were a laser you would be set on stunning.,
,,,"If you were a library book, I would check you out.",
,,,"If you were a new hamburger at McDonald's, you would be a McGorgeous.",
,,,"If you were a potato, you'd be a sweet one.",
,,,If you were a steak you would be well done.,
,,,If you were a tear in my eye I would not cry for fear of losing you.,
,,,"If you were a transformer, you'd be a HOT-obot, and your name would be Optimus Fine",
,,,"If you were a tropical fruit, you'd be a Fine-apple!",
,,,If you were a vegetable you'd be a cute-cumber.,
,,,"If you were ground coffee, you'd be Espresso cause you're so fine.",
,,,If you weren't here I'd be the hottest person in this place.,
,,,"If you're advertising, I'm buying!",
,,,"If your heart was a prison, I would like to be sentenced for life.",
,,,"If your left leg is Thanksgiving, and your right leg is Christmas, can I visit you between the holidays?",
,,,Inheriting 10 million dollars doesn't mean much when you have a weak heart,
,,,Inheriting eighty million bucks doesn't mean much when you have a weak heart.,
,,,"Is it bright out here, or is that just your halo?",
,,,Is it hot in here or is it just you?,
,,,Is there a rainbow today? I just found the treasure I've been searching for!,
,,,"Is there a science room nearby, or am I just sensing the chemistry between us?",
,,,Is there an airport nearby or is that just my heart taking off?,
,,,Is your body from McDonald's? Because I'm lovin' it!,
,,,Is your father a Baker? Because you've got some nice buns!,
,,,Is your father a drug dealer? Because you're so Dope!,
,,,Is your father a jewel thief? because you're a real gem.,
,,,Is your father a terrorist? Because you are the bomb.,
,,,Is your father an art thief? Because you're a masterpiece.,
,,,Is your father Little Caesar? Because you look Hot 'n Ready.,
,,,"Is your last name Campbell? Because you're ""mmmm... good!""",
,,,Is your last name Campbell? Because you're mm mm good!,
,,,Is your last name Gillette? Because you are the best a man can get.,
,,,"Is your last name Whitman, because I want to sample you.",
,,,Is your name 'Swiffer'? 'Because you just swept me off my feet.,
,,,"Is your name Katrina? [No, why?] 'Cuz baby, you rock me like a hurricane!",
,,,Is your name mickey? because your so FINE!,
,,,Is your name Summer? 'Because you are as hot as hell.,
,,,"It's a good thing I wore my gloves today; otherwise, you'd be too hot to handle.",
,,,It's a good thing that I have my library card. Why? Because I am totally checking you out!!,
,,,It's dark in here. Wait! It's because all of the light is shining on you.,
,,,"It's not my fault that I fell for you, you tripped me!",
,,,"Kiss me if I'm wrong, but dinosaurs still exist, right?",
,,,Kissing burns 5 calories a minute. How about a workout?,
,,,"Kissing is a language of love, so how about a conversation?",
,,,Know what's on the menu? Me-n-u.,
,,,Lemme borrow that number gurl.,
,,,"Let me tie your shoes, cause I dont want you falling for anyone else.",
,,,"Let's commit the perfect crime: I'll steal your heart, and you'll steal mine.",
,,,Let's have breakfast together tomorrow; shall I call you or nudge you?,
,,,Let's make like a fabric softener and snuggle!,
,,,Let's play Winnie the Pooh and get my nose stuck in your honey jar.,
,,,"Lets play carpenter. First we get hammered, then I'll nail you!",
,,,Life without you would be like a broken pencil... pointless.,
,,,"Looks like you dropped something , My jaw!",
,,,"Me without you is like a nerd without braces, A shoe without laces, aSentenceWithoutSpaces",
,,,Most guys need 3 meals a day to keep going... I just need eye contact from you.,
,,,"Most people like to watch the Olympics, because they only happen once every 4 years, but I'd rather talk to you cause the chance of meeting someone so special only happens once in a lifetime.",
,,,My buddies bet me that I wouldn't be able to start a conversation with the most beautiful girl in the bar. Wanna buy some drinks with their money?,
,,,My doctor says I'm lacking Vitamin U.,
,,,"My friend thinks you're kinda cute, but I don't... I think you're absolutely gorgeous!",
,,,My lenses turn dark in the sunshine of your love.,
,,,My lips are like skittles. Wanna taste the rainbow?,
,,,"My love for you is like diarrhea, I just can't hold it in.",
,,,My name is [your here] but you can call me tonight!,
,,,"My name isn't Elmo, but you can tickle me any time you want to!",
,,,"Nice to meet you, I'm (your name) and you are...gorgeous!",
,,,"No wonder the sky is grey today, all the blue is in your eyes",
,,,"Of all the beautiful curves on your body, your smile is my favorite.",
,,,"Oh no, I'm choking! I need mouth to mouth, quick!",
,,,"On a scale of 1 to 10, you're a 9. I'm the 1 you need.",
,,,"On a scale of one to America, how free are you tonight?",
,,,Ouch! My tooth hurts! [Why?] Because you are soooo sweet!,
,,,Our break-up is worse than traffic in NY. I cant move-on!,
,,,"People call me John, but you can call me Tonight!",
,,,Pinch me. [Why?] You're so fine I must be dreaming.,
,,,Pointing at a spot on a girls face and say; You got a little beautiful on your face.,
,,,Put down that cupcake... you're sweet enough already.,
,,,"Rejection can lead to emotional stress for both parties involved and emotional stress can lead to physical complications such as headaches, ulcers, cancerous tumors, and even death! So for my health and yours, JUST SAY YES!",
,,,"Roses are red, bananas are yellow, wanna go out with a nice little fellow?",
,,,Santa's lap isn't the only place wishes come true.,
,,,"Say ""I bet I can kiss you on the lips without touching you."" and kiss her, then tell her you lost the bet.",
,,,See my friend over there? He wants to know if you think I'm cute.,
,,,See these keys? I wish I had the one to your heart.,
,,,Shall we talk or continue flirting from a distance?,
,,,"She/He says: ""Hold on""",
,,,"Should I smile because we are friends, or cry because I know that is what we will ever be?",
,,,Smile if you want to sleep with me.,
,,,"Smoking is hazardous to your health... and baby, you're killing me!",
,,,"So there you are! I've been looking all over for you, the woman of my dreams",
,,,"So, do you have a new years resolution, I'm looking at mine right now.",
,,,"So, what do you do for a living besides always making all the men excited and warm all over?",
,,,"Somebody better call God, cause heaven's missing an angel",
,,,"Somebody call the cops, because it's got to be illegal to look that good!",
,,,"Somebody needs to call the bomb squad, because you're the bomb!",
,,,"Someone should call the police, because you just stole my heart!",
,,,"Sorry, but you owe me a drink. [Why?] Because when I looked at you, I dropped mine.",
,,,Stand still so I can pick you up!,
,,,"Stare at girl . (""What're you staring at?"")",
,,,"Stop, drop, and roll, baby. You are on fire.",
,,,"Summer's over, because you're about to fall for me.",
,,,That dress would look great on my bedroom floor!,
,,,The only thing your eyes haven't told me is your name.,
,,,"There are 20 angels in the world 11 are playing, 8 are sleeping and 1 of them is standing in front of me.",
,,,There are 206 bones in the human body... do you want another one?,
,,,"There are people who say Disneyland is the happiest place on earth. Apparently, none of them have ever been in your arms.",
,,,There is something wrong with my cell phone. It doesn't have your number in it,
,,,There isn't a word in the dictionary for how good you look.,
,,,There isn't a word in the dictionary to describe how beautiful you are.,
,,,"There must be a light switch on my forehead because every time I see you, you turn me on!",
,,,"There must be something wrong with my eyes, I can't take them off you.",
,,,There's a big sale in my bedroom right now. Clothes are now 100% off!,
,,,"There's only one thing I want to change about you, and that's your last name.",
,,,There's a party in my pants and your invited.,
,,,They say dating is a numbers game... so can I get your number?,
,,,"They say milk does a body good, but you're living proof!",
,,,They say not to judge a book by it's cover but I don't even know you and I'm checking you out.,
,,,"This isn't a beer belly, It's a fuel tank for a love machine.",
,,,This time next year let’s be laughing together.,
,,,Too cheesy for you? Try these dirty lines,
,,,"Vogue just called, they want to put you on the cover.",
,,,"Wanna get some coffee, Because I like you a Latte",
,,,Wanna play Words With Friends With Benefits?,
,,,Wanna ring in the new year with a bang?,
,,,Want to be different? Say yes.,
,,,Want to come see my HARD DRIVE? I promise it isn't 3.5 inches and it ain't floppy.,
,,,Was that an earthquake or did you just rock my world?,
,,,Was you father an alien? Because there's nothing else like you on Earth!,
,,,Was your father a baker? Because you've got a nice set of buns.,
,,,Was your father a boxer? Because you're a knockout!,
,,,Was your father a mechanic? Then how did you get such a finely tuned body?,
,,,Was your father a thief? 'Because someone stole the stars from the sky and put them in your eyes.,
,,,Was your father an alien? Because there's nothing else like you on earth!,
,,,Was your father in the Air Force? Because you're da bomb.,
,,,Was your father king? He must have been to make a princess like you.,
,,,"We're like Little Caesar's, we're Hot and Ready.",
,,,"Well, here I am. What were your other two wishes?",
,,,"Well, I AM telepathic, and I can tell that you love me. Right? [NO!] Darn, I always get ""love"" and ""lust"" mixed up.",
,,,Were do you hide your wings?,
,,,Were you arrested earlier? It's gotta be illegal to look that good.,
,,,Were you in Boy Scouts? Because you sure have tied my heart in a knot.,
,,,"Were your parents Greek Gods, 'cause it takes two gods to make a goddess.",
,,,What are you doing for the rest of your life? Because I want to spend it with you.,
,,,What do you and the weather have in common? You're both Hot!,
,,,What do you want for Christmas? A date with you!,
,,,What does it feel like to be the most beautiful girl in this room?,
,,,What has 148 teeth and holds back the incredible hulk? My Zipper!,
,,,What is your favorite color? [Color] Mine too!,
,,,What size shoe you wear baby girl? I'm gonna guess size sexy!,
,,,What time do you have to be back in heaven?,
,,,What's a nice girl like you doing in a place like this?,
,,,What's on the menu? Me-n-U,
,,,"What's that on your face? Oh, must just be beauty. Here, let me get it off. Hey, it's not coming off!",
,,,"When God made you, he was showing off",
,,,"When I first saw you I looked for a signature, because every masterpiece has one.",
,,,"When I first saw you, I knew we could win the Stanley Cup in tonsil hockey.",
,,,"When I look into your eyes, it is like a gateway into the world of which I want to be a part.",
,,,"When I'm older, I'll look back at all of my crowning memories, and I'll think of the day my children were born, the day I got married, and the day that I met you.",
,,,"Whenever I think of the finer things in life, I think of exotic cars, fine wine and you.",
,,,Why don't you surprise your roommate and not come home tonight?,
,,,Would you grab my arm so I can tell my friends I've been touched by an angel?,
,,,"Would you sleep with a stranger? [No] Then Hi, my name is...",
,,,Would you touch me so I can tell my friends I've been touched by an angel?,
,,,Wouldn't we look cute on a wedding cake together?,
,,,Wow! Are those real?,
,,,"Yes, that's a iPhone in my pocket, but I'm also glad to see you.",
,,,You are a 9 - you'd be a perfect 10 if you were with me.,
,,,You are like a candy bar: half sweet and half nuts.,
,,,You are so beautiful that I would marry your brother just to get into your family.,
,,,You are so beautiful that you give the sun a reason to shine.,
,,,"You are so fine, I wish I could plant you and grow a whole field of you!",
,,,You are so sweet you could put Hershey's out of business.,
,,,You are the reason men fall in love.,
,,,You are the reason Santa even has a naughty list.,
,,,You are what I want for Christmas.,
,,,You Auto-Complete me.,
,,,"You be the Dairy Queen and I'll be your Burger King: You treat me right, and I'll do it your way.",
,,,"You better call Life Alert, because I've fallen for you and I can't get up.",
,,,You don't need keys to drive me crazy.,
,,,You hear that? The ocean wants you to join me for a drink.,
,,,You know how they say skin is the largest organ? Not in my case.,
,,,"You know I'd like to invite you over, but I'm afraid you're so hot that you'll skyrocket my air-conditioning bill",
,,,"You know the more I drink, the prettier you get!",
,,,You know what material this is? [Grab your shirt] Boyfriend material.,
,,,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,
,,,"You know, beautiful is my favorite color. (girl) that's not a color.(boy) its the color of your eyes.",
,,,"You know, Dr. Phil says I'm afraid of commitment...Want to help prove him wrong?",
,,,"You know, I would die happy if I saw you naked just once!",
,,,"You know, it'd be a lot easier for me to sweep you off your feet if you stood up.",
,,,"You know, you might be asked to leave soon. You are making the other women look bad.",
,,,"You look beautiful today, just like every other day.",
,,,You look cold. Want to use me as a blanket?,
,,,You look familiar.,
,,,"You look like a cool glass of refreshing water, and I am the thirstiest man in the world.",
,,,You look like my third wife. [how many time have you been married?] Twice.,
,,,You look like Pamela Anderson’s sister.,
,,,You look so familiar… didn't we take a class together? I could've sworn we had chemistry.,
,,,You make me melt like hot fudge on a sundae.,
,,,You make me wish I weren't gay!,
,,,You make my software turn to hardware!,
,,,"You may be asked to leave soon, you're making all the other women look bad.",
,,,"You may fall from the sky, you may fall from a tree, but the best way to fall... is in love with me.",
,,,You must be a hell of a thief because you stole my heart from across the room.,
,,,"You must be a high test score, because I want to take you home and show you to my mother.",
,,,"You must be a ninja, because you snuck into my heart",
,,,"You must be from Pearl Harbor, because baby, you're the bomb.",
,,,"You must be Jamaican, because Jamaican me crazy",
,,,You really shouldn't wear makeup. You're messing with perfection!,
,,,"You remind me of a magnet, because you sure are attracting me over here!",
,,,"You Say: ""Sorry, I can't hold on... I've already fallen for you.""",
,,,You see my friend over there? [Point to friend] He wants to know if YOU think I'M cute.,
,,,You see my friend over there? He wants to know if you think I'm cute,
,,,You should be someone's wife.,
,,,"You should go in the water, because you're so hot you're on fire!",
,,,You shouldn't wear makeup. It's messing with perfection,
,,,"You spend so much time in my mind, I should charge you rent.",
,,,You wanna know what's beautiful? Read the first word again.,
,,,"You, Before I Wake Up From this Dream.",
,,,"You'd better direct that beauty somewhere else, you'll set the carpet on fire.",
,,,You're 'No Parking' right? Just trying to guess your sign.,
,,,You're hotter than donut grease.,
,,,You're hotter than Papa Bear's porridge.,
,,,"You're kinda, sorta, basically, pretty much always on my mind.",
,,,"You're like a dictionary, you add meaning to my life!",
,,,You're like a prize winning fish. I dont know whether to eat you or mount you.,
,,,"You're like pizza. Even when you are bad, you're good",
,,,You're single. I'm single. Coincidence? I think not.,
,,,You're so beautiful that you made me forget my pickup line,
,,,You're so hot you must've started global warming.,
,,,You're so hot you would make the devil sweat.,
,,,You're so hot you would make the devil sweat.,
,,,"You're so hot, I bet you could light a candle at 10 paces.",
,,,"You're so hot, I could bake cookies on you.",
,,,"You're so hot, that if you ate a piece of bread, you'd poop out toast!",
,,,"You're so hot, you'd make the devil sweat",
,,,You're so hot; you make the sun envious.,
,,,"You're so sweet, you're giving me a toothache.",
,,,"You're the only girl I love now... but in ten years, I'll love another girl. She'll call you 'Mommy.'",
,,,You’re so beautiful; your birthday should be a national holiday.,
,,,Your ass is so nice that it is a shame that you have to sit on it.,
,,,Your body is 65% water and I'm thirsty.,
,,,Your eyes are as blue as window cleaner.,
,,,"Your eyes are blue, like the ocean. And baby, I'm lost at sea.",
,,,"Your eyes are bluer than the Atlantic ocean, and baby I'm lost at sea!",
,,,"Your eyes are like a sunset, They're Beautiful, inspiring, and hard to turn away from.",
,,,"Your father must have been a baker, because you've got a nice set of buns",
,,,Your father must have been a thief. Because he stole the stars from the sky and put them in your eyes.,
,,,Your hand looks heavy. Let me hold it for you,
,,,Your legs must be tired because you've been running through my mind all night,
,,,Your lips look so lonely.... Would they like to meet mine?,
,,,Your name must be Lucky Charms because you’re magically delicious!,
,,,"Your smile lit up the room, so I just had to come over.",
